model_id,prompt_id,subtype_id,total_pairs,flip_pairs,reverse_flip_pairs,FR_control,FR_trigger,delta_pp,top_trigger_shape,representative_pair_id
DeepSeek-V3.2,P1,full_half_width,30,1,0,23.3333,26.6667,3.3333,mixed_width_numeric_field,pair_main_ext_full_half_width_077
DeepSeek-V3.2,P2,full_half_width,30,1,0,20.0000,23.3333,3.3333,mixed_width_numeric_field,pair_main_ext_full_half_width_077
DeepSeek-V3.2,P3,full_half_width,30,1,0,20.0000,23.3333,3.3333,mixed_width_numeric_field,pair_main_ext_full_half_width_066
DeepSeek-V3.2,P4,full_half_width,30,2,2,23.3333,23.3333,0.0000,mixed_width_numeric_field,pair_main_ext_full_half_width_072
GLM-4.6,P1,full_half_width,30,1,0,13.3333,16.6667,3.3333,mixed_width_numeric_field,pair_main_ext_full_half_width_082
GLM-4.6,P2,full_half_width,30,0,1,13.3333,10.0000,-3.3333,,
GLM-4.6,P3,full_half_width,30,3,0,10.0000,20.0000,10.0000,mixed_width_numeric_field,pair_main_ext_full_half_width_067
GLM-4.6,P4,full_half_width,30,2,0,13.3333,20.0000,6.6667,mixed_width_numeric_field,pair_main_ext_full_half_width_061
Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,30,1,0,6.6667,10.0000,3.3333,mixed_width_numeric_field,pair_main_ext_full_half_width_084
Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,30,0,0,10.0000,10.0000,0.0000,,
Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,30,1,1,10.0000,10.0000,0.0000,mixed_width_numeric_field,pair_main_ext_full_half_width_076
Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,30,0,0,10.0000,10.0000,0.0000,,
gemini-3-flash,P1,full_half_width,22,0,0,9.0909,9.0909,0.0000,,
gemini-3-flash,P2,full_half_width,29,0,0,3.4483,3.4483,0.0000,,
gemini-3-flash,P3,full_half_width,30,0,0,6.6667,6.6667,0.0000,,
gemini-3-flash,P4,full_half_width,29,0,0,6.8966,6.8966,0.0000,,
gpt-5.2,P1,full_half_width,30,0,1,10.0000,6.6667,-3.3333,,
gpt-5.2,P2,full_half_width,30,0,1,10.0000,6.6667,-3.3333,,
gpt-5.2,P3,full_half_width,30,0,0,3.3333,3.3333,0.0000,,
gpt-5.2,P4,full_half_width,30,0,2,13.3333,6.6667,-6.6667,,
DeepSeek-V3.2,P1,ocr_confusable,30,14,0,16.6667,63.3333,46.6667,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_092
DeepSeek-V3.2,P2,ocr_confusable,30,18,0,16.6667,76.6667,60.0000,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_092
DeepSeek-V3.2,P3,ocr_confusable,30,13,0,20.0000,63.3333,43.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
DeepSeek-V3.2,P4,ocr_confusable,30,15,0,16.6667,66.6667,50.0000,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_091
GLM-4.6,P1,ocr_confusable,30,16,0,10.0000,63.3333,53.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_091
GLM-4.6,P2,ocr_confusable,30,16,0,13.3333,66.6667,53.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_091
GLM-4.6,P3,ocr_confusable,30,13,0,13.3333,56.6667,43.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
GLM-4.6,P4,ocr_confusable,30,15,1,13.3333,60.0000,46.6667,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,30,19,0,0.0000,63.3333,63.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_091
Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,30,19,0,0.0000,63.3333,63.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_091
Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,30,16,0,10.0000,63.3333,53.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_091
Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,30,18,0,3.3333,63.3333,60.0000,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_091
gemini-3-flash,P1,ocr_confusable,25,15,0,4.0000,64.0000,60.0000,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
gemini-3-flash,P2,ocr_confusable,29,13,0,10.3448,55.1724,44.8276,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_094
gemini-3-flash,P3,ocr_confusable,30,15,0,6.6667,56.6667,50.0000,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
gemini-3-flash,P4,ocr_confusable,30,15,1,10.0000,56.6667,46.6667,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
gpt-5.2,P1,ocr_confusable,30,18,1,13.3333,70.0000,56.6667,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
gpt-5.2,P2,ocr_confusable,30,19,0,6.6667,70.0000,63.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_092
gpt-5.2,P3,ocr_confusable,30,16,0,6.6667,60.0000,53.3333,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
gpt-5.2,P4,ocr_confusable,30,16,1,13.3333,63.3333,50.0000,ocr_confusion_near_key_slot,pair_main_ext_ocr_confusable_093
DeepSeek-V3.2,P1,simp_trad,60,23,1,26.6667,63.3333,36.6667,script_variant_preserved,pair_main_ext_simp_trad_001
DeepSeek-V3.2,P2,simp_trad,60,25,0,21.6667,63.3333,41.6667,script_variant_preserved,pair_main_ext_simp_trad_001
DeepSeek-V3.2,P3,simp_trad,60,27,1,25.0000,68.3333,43.3333,script_variant_preserved,pair_main_ext_simp_trad_001
DeepSeek-V3.2,P4,simp_trad,60,24,0,23.3333,63.3333,40.0000,script_variant_preserved,pair_main_ext_simp_trad_001
GLM-4.6,P1,simp_trad,60,29,3,16.6667,60.0000,43.3333,script_variant_preserved,pair_main_ext_simp_trad_001
GLM-4.6,P2,simp_trad,60,28,0,15.0000,61.6667,46.6667,script_variant_preserved,pair_main_ext_simp_trad_001
GLM-4.6,P3,simp_trad,60,27,0,16.6667,61.6667,45.0000,script_variant_preserved,pair_main_ext_simp_trad_001
GLM-4.6,P4,simp_trad,60,29,0,13.3333,61.6667,48.3333,script_variant_preserved,pair_main_ext_simp_trad_001
Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,60,28,0,6.6667,53.3333,46.6667,script_variant_preserved,pair_main_ext_simp_trad_001
Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,60,28,0,8.3333,55.0000,46.6667,script_variant_preserved,pair_main_ext_simp_trad_001
Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,60,26,0,10.0000,53.3333,43.3333,script_variant_preserved,pair_main_ext_simp_trad_001
Qwen3-235B-A22B-Instruct-2507,P4,simp_trad,60,28,0,8.3333,55.0000,46.6667,script_variant_preserved,pair_main_ext_simp_trad_001
gemini-3-flash,P1,simp_trad,58,27,0,10.3448,56.8966,46.5517,script_variant_preserved,pair_main_ext_simp_trad_001
gemini-3-flash,P2,simp_trad,60,27,0,10.0000,55.0000,45.0000,script_variant_preserved,pair_main_ext_simp_trad_001
gemini-3-flash,P3,simp_trad,60,27,0,10.0000,55.0000,45.0000,script_variant_preserved,pair_main_ext_simp_trad_001
gemini-3-flash,P4,simp_trad,60,28,1,11.6667,56.6667,45.0000,script_variant_preserved,pair_main_ext_simp_trad_001
gpt-5.2,P1,simp_trad,60,28,1,13.3333,58.3333,45.0000,script_variant_preserved,pair_main_ext_simp_trad_001
gpt-5.2,P2,simp_trad,60,26,0,13.3333,56.6667,43.3333,script_variant_preserved,pair_main_ext_simp_trad_001
gpt-5.2,P3,simp_trad,60,26,1,10.0000,51.6667,41.6667,script_variant_preserved,pair_main_ext_simp_trad_001
gpt-5.2,P4,simp_trad,60,25,1,16.6667,56.6667,40.0000,script_variant_preserved,pair_main_ext_simp_trad_001
