model_id,prompt_id,subtype_id,group_type,group_value,pair_count,flip_pairs,reverse_flip_pairs,FR_control,FR_trigger,delta_pp,p_value,n01,n10
DeepSeek-V3.2,P1,full_half_width,composition,single,24,1,0,29.1667,33.3333,4.1667,1.000000,1,0
DeepSeek-V3.2,P1,full_half_width,domain,announcement,4,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,domain,customer_service,4,0,0,75.0000,75.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,domain,email,4,1,0,0.0000,25.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,full_half_width,domain,form_ocr,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,domain,im_chat,4,0,0,50.0000,50.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,domain,social_media,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,intensity,light,13,1,0,38.4615,46.1538,7.6923,1.000000,1,0
DeepSeek-V3.2,P1,full_half_width,intensity,medium,8,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,source_style,chat,8,0,0,62.5000,62.5000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,source_style,doc,4,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,source_style,form,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,source_style,mail,4,1,0,0.0000,25.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,full_half_width,source_style,social,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,target_field,amount,10,0,0,20.0000,20.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,target_field,company,4,1,0,25.0000,50.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,full_half_width,target_field,date,10,0,0,40.0000,40.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,ocr_confusable,composition,single,24,14,0,20.8333,79.1667,58.3333,0.000122,14,0
DeepSeek-V3.2,P1,ocr_confusable,domain,announcement,4,3,0,0.0000,75.0000,75.0000,0.250000,3,0
DeepSeek-V3.2,P1,ocr_confusable,domain,customer_service,4,1,0,25.0000,50.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,ocr_confusable,domain,email,4,1,0,50.0000,75.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,ocr_confusable,domain,form_ocr,4,3,0,0.0000,75.0000,75.0000,0.250000,3,0
DeepSeek-V3.2,P1,ocr_confusable,domain,im_chat,4,2,0,50.0000,100.0000,50.0000,0.500000,2,0
DeepSeek-V3.2,P1,ocr_confusable,domain,social_media,4,4,0,0.0000,100.0000,100.0000,0.125000,4,0
DeepSeek-V3.2,P1,ocr_confusable,intensity,hard,6,3,0,33.3333,83.3333,50.0000,0.250000,3,0
