pair_id,subtype_id,task_type,domain,source_style,target_field,intensity,is_composite,secondary_subtype,trigger_shape_hint
pair_main_ext_simp_trad_001,simp_trad,extraction,announcement,doc,date,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_002,simp_trad,extraction,announcement,doc,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_003,simp_trad,extraction,announcement,doc,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_004,simp_trad,extraction,announcement,doc,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_005,simp_trad,extraction,announcement,doc,amount,hard,0,,script_variant_preserved
pair_main_ext_simp_trad_006,simp_trad,extraction,announcement,doc,date,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_007,simp_trad,extraction,announcement,doc,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_008,simp_trad,extraction,announcement,doc,company,light,0,,script_variant_preserved
pair_main_cla_simp_trad_009,simp_trad,classification,announcement,doc,company,light,0,,script_variant_preserved
pair_main_cla_simp_trad_010,simp_trad,classification,announcement,doc,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_011,simp_trad,extraction,customer_service,chat,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_012,simp_trad,extraction,customer_service,chat,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_013,simp_trad,extraction,customer_service,chat,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_014,simp_trad,extraction,customer_service,chat,date,hard,0,,script_variant_preserved
pair_main_ext_simp_trad_015,simp_trad,extraction,customer_service,chat,amount,hard,0,,script_variant_preserved
pair_main_ext_simp_trad_016,simp_trad,extraction,customer_service,chat,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_017,simp_trad,extraction,customer_service,chat,date,hard,0,,script_variant_preserved
pair_main_ext_simp_trad_018,simp_trad,extraction,customer_service,chat,company,light,0,,script_variant_preserved
pair_main_cla_simp_trad_019,simp_trad,classification,customer_service,chat,amount,hard,0,,script_variant_preserved
pair_main_cla_simp_trad_020,simp_trad,classification,customer_service,chat,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_021,simp_trad,extraction,social_media,social,amount,hard,0,,script_variant_preserved
pair_main_ext_simp_trad_022,simp_trad,extraction,social_media,social,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_023,simp_trad,extraction,social_media,social,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_024,simp_trad,extraction,social_media,social,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_025,simp_trad,extraction,social_media,social,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_026,simp_trad,extraction,social_media,social,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_027,simp_trad,extraction,social_media,social,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_028,simp_trad,extraction,social_media,social,company,light,0,,script_variant_preserved
pair_main_cla_simp_trad_029,simp_trad,classification,social_media,social,company,light,0,,script_variant_preserved
pair_main_cla_simp_trad_030,simp_trad,classification,social_media,social,date,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_031,simp_trad,extraction,email,mail,amount,hard,0,,script_variant_preserved
pair_main_ext_simp_trad_032,simp_trad,extraction,email,mail,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_033,simp_trad,extraction,email,mail,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_034,simp_trad,extraction,email,mail,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_035,simp_trad,extraction,email,mail,amount,hard,0,,script_variant_preserved
pair_main_ext_simp_trad_036,simp_trad,extraction,email,mail,company,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_037,simp_trad,extraction,email,mail,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_038,simp_trad,extraction,email,mail,amount,hard,0,,script_variant_preserved
pair_main_cla_simp_trad_039,simp_trad,classification,email,mail,amount,hard,0,,script_variant_preserved
pair_main_cla_simp_trad_040,simp_trad,classification,email,mail,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_041,simp_trad,extraction,im_chat,chat,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_042,simp_trad,extraction,im_chat,chat,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_043,simp_trad,extraction,im_chat,chat,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_044,simp_trad,extraction,im_chat,chat,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_045,simp_trad,extraction,im_chat,chat,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_046,simp_trad,extraction,im_chat,chat,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_047,simp_trad,extraction,im_chat,chat,date,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_048,simp_trad,extraction,im_chat,chat,company,medium,0,,script_variant_preserved
pair_main_cla_simp_trad_049,simp_trad,classification,im_chat,chat,date,medium,0,,script_variant_preserved
pair_main_cla_simp_trad_050,simp_trad,classification,im_chat,chat,date,medium,0,,script_variant_preserved
pair_main_ext_simp_trad_051,simp_trad,extraction,form_ocr,form,date,hard,0,,script_variant_preserved
pair_main_ext_simp_trad_052,simp_trad,extraction,form_ocr,form,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_053,simp_trad,extraction,form_ocr,form,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_054,simp_trad,extraction,form_ocr,form,company,light,0,,script_variant_preserved
pair_main_ext_simp_trad_055,simp_trad,extraction,form_ocr,form,company,light,1,full_half_width,script_variant_preserved
pair_main_ext_simp_trad_056,simp_trad,extraction,form_ocr,form,company,light,1,full_half_width,script_variant_preserved
pair_main_ext_simp_trad_057,simp_trad,extraction,form_ocr,form,company,light,1,full_half_width,script_variant_preserved
pair_main_ext_simp_trad_058,simp_trad,extraction,form_ocr,form,company,light,1,full_half_width,script_variant_preserved
pair_main_cla_simp_trad_059,simp_trad,classification,form_ocr,form,amount,hard,1,full_half_width,script_variant_preserved
pair_main_cla_simp_trad_060,simp_trad,classification,form_ocr,form,company,light,1,full_half_width,script_variant_preserved
pair_main_ext_full_half_width_061,full_half_width,extraction,announcement,doc,amount,medium,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_062,full_half_width,extraction,announcement,doc,amount,medium,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_063,full_half_width,extraction,announcement,doc,amount,light,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_064,full_half_width,extraction,announcement,doc,amount,medium,0,,mixed_width_numeric_field
pair_main_cla_full_half_width_065,full_half_width,classification,announcement,doc,date,light,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_066,full_half_width,extraction,customer_service,chat,date,medium,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_067,full_half_width,extraction,customer_service,chat,amount,light,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_068,full_half_width,extraction,customer_service,chat,amount,light,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_069,full_half_width,extraction,customer_service,chat,date,light,0,,mixed_width_numeric_field
pair_main_cla_full_half_width_070,full_half_width,classification,customer_service,chat,amount,hard,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_071,full_half_width,extraction,social_media,social,date,light,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_072,full_half_width,extraction,social_media,social,date,light,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_073,full_half_width,extraction,social_media,social,date,light,0,,mixed_width_numeric_field
pair_main_ext_full_half_width_074,full_half_width,extraction,social_media,social,amount,hard,0,,mixed_width_numeric_field
