repair_mode,model_id,prompt_id,subtype_id,FR_control,FR_trigger,delta_pp,A_flag,B_flag,p_value,pair_count,n01,n10
none,DeepSeek-V3.2,P1,full_half_width,29.1667,33.3333,4.1667,0,0,1.000000,24,1,0
none,DeepSeek-V3.2,P1,ocr_confusable,20.8333,79.1667,58.3333,1,1,0.000122,24,14,0
none,DeepSeek-V3.2,P1,simp_trad,33.3333,79.1667,45.8333,1,1,0.000003,48,23,1
none,DeepSeek-V3.2,P2,full_half_width,25.0000,29.1667,4.1667,0,0,1.000000,24,1,0
none,DeepSeek-V3.2,P2,ocr_confusable,20.8333,95.8333,75.0000,1,1,0.000008,24,18,0
none,DeepSeek-V3.2,P2,simp_trad,27.0833,79.1667,52.0833,1,1,0.000000,48,25,0
none,DeepSeek-V3.2,P3,full_half_width,25.0000,29.1667,4.1667,0,0,1.000000,24,1,0
none,DeepSeek-V3.2,P3,ocr_confusable,25.0000,75.0000,50.0000,1,1,0.000488,24,12,0
none,DeepSeek-V3.2,P3,simp_trad,31.2500,85.4167,54.1667,1,1,0.000000,48,27,1
none,DeepSeek-V3.2,P4,full_half_width,29.1667,29.1667,0.0000,0,0,1.000000,24,2,2
none,DeepSeek-V3.2,P4,ocr_confusable,20.8333,83.3333,62.5000,1,1,0.000061,24,15,0
none,DeepSeek-V3.2,P4,simp_trad,29.1667,79.1667,50.0000,1,1,0.000000,48,24,0
none,GLM-4.6,P1,full_half_width,16.6667,20.8333,4.1667,0,0,1.000000,24,1,0
none,GLM-4.6,P1,ocr_confusable,12.5000,75.0000,62.5000,1,1,0.000061,24,15,0
none,GLM-4.6,P1,simp_trad,18.7500,75.0000,56.2500,1,1,0.000000,48,29,2
none,GLM-4.6,P2,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,24,0,0
none,GLM-4.6,P2,ocr_confusable,16.6667,79.1667,62.5000,1,1,0.000061,24,15,0
none,GLM-4.6,P2,simp_trad,18.7500,77.0833,58.3333,1,1,0.000000,48,28,0
none,GLM-4.6,P3,full_half_width,12.5000,25.0000,12.5000,0,0,0.250000,24,3,0
none,GLM-4.6,P3,ocr_confusable,16.6667,70.8333,54.1667,1,1,0.000244,24,13,0
none,GLM-4.6,P3,simp_trad,20.8333,77.0833,56.2500,1,1,0.000000,48,27,0
none,GLM-4.6,P4,full_half_width,16.6667,25.0000,8.3333,0,0,0.500000,24,2,0
none,GLM-4.6,P4,ocr_confusable,16.6667,75.0000,58.3333,1,1,0.000519,24,15,1
none,GLM-4.6,P4,simp_trad,16.6667,77.0833,60.4167,1,1,0.000000,48,29,0
none,Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,8.3333,12.5000,4.1667,0,0,1.000000,24,1,0
none,Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,0.0000,79.1667,79.1667,1,1,0.000004,24,19,0
none,Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,8.3333,66.6667,58.3333,1,1,0.000000,48,28,0
none,Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,24,0,0
none,Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,0.0000,79.1667,79.1667,1,1,0.000004,24,19,0
none,Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,10.4167,68.7500,58.3333,1,1,0.000000,48,28,0
none,Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,24,1,1
none,Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,12.5000,79.1667,66.6667,1,1,0.000031,24,16,0
none,Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,12.5000,66.6667,54.1667,1,1,0.000000,48,26,0
none,Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,24,0,0
none,Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,4.1667,79.1667,75.0000,1,1,0.000008,24,18,0
none,Qwen3-235B-A22B-Instruct-2507,P4,simp_trad,10.4167,68.7500,58.3333,1,1,0.000000,48,28,0
none,gemini-3-flash,P1,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,16,0,0
none,gemini-3-flash,P1,ocr_confusable,5.2632,78.9474,73.6842,1,1,0.000122,19,14,0
none,gemini-3-flash,P1,simp_trad,13.0435,71.7391,58.6957,1,1,0.000000,46,27,0
none,gemini-3-flash,P2,full_half_width,4.3478,4.3478,0.0000,0,0,1.000000,23,0,0
none,gemini-3-flash,P2,ocr_confusable,13.0435,69.5652,56.5217,1,1,0.000244,23,13,0
none,gemini-3-flash,P2,simp_trad,12.5000,68.7500,56.2500,1,1,0.000000,48,27,0
none,gemini-3-flash,P3,full_half_width,8.3333,8.3333,0.0000,0,0,1.000000,24,0,0
none,gemini-3-flash,P3,ocr_confusable,8.3333,70.8333,62.5000,1,1,0.000061,24,15,0
none,gemini-3-flash,P3,simp_trad,12.5000,68.7500,56.2500,1,1,0.000000,48,27,0
none,gemini-3-flash,P4,full_half_width,8.6957,8.6957,0.0000,0,0,1.000000,23,0,0
none,gemini-3-flash,P4,ocr_confusable,12.5000,70.8333,58.3333,1,1,0.000519,24,15,1
none,gemini-3-flash,P4,simp_trad,14.5833,70.8333,56.2500,1,1,0.000000,48,28,1
none,gpt-5.2,P1,full_half_width,8.3333,8.3333,0.0000,0,0,1.000000,24,0,0
none,gpt-5.2,P1,ocr_confusable,12.5000,83.3333,70.8333,1,1,0.000015,24,17,0
none,gpt-5.2,P1,simp_trad,16.6667,72.9167,56.2500,1,1,0.000000,48,28,1
none,gpt-5.2,P2,full_half_width,12.5000,8.3333,-4.1667,0,0,1.000000,24,0,1
none,gpt-5.2,P2,ocr_confusable,8.3333,87.5000,79.1667,1,1,0.000004,24,19,0
none,gpt-5.2,P2,simp_trad,16.6667,70.8333,54.1667,1,1,0.000000,48,26,0
none,gpt-5.2,P3,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
none,gpt-5.2,P3,ocr_confusable,8.3333,70.8333,62.5000,1,1,0.000061,24,15,0
none,gpt-5.2,P3,simp_trad,12.5000,64.5833,52.0833,1,1,0.000000,48,26,1
none,gpt-5.2,P4,full_half_width,16.6667,8.3333,-8.3333,0,0,0.500000,24,0,2
none,gpt-5.2,P4,ocr_confusable,16.6667,75.0000,58.3333,1,1,0.000519,24,15,1
none,gpt-5.2,P4,simp_trad,18.7500,70.8333,52.0833,1,1,0.000000,48,25,0
script_numeric,DeepSeek-V3.2,P1,full_half_width,29.1667,33.3333,4.1667,0,0,1.000000,24,1,0
script_numeric,DeepSeek-V3.2,P1,ocr_confusable,20.8333,58.3333,37.5000,1,1,0.003906,24,9,0
script_numeric,DeepSeek-V3.2,P1,simp_trad,33.3333,31.2500,-2.0833,0,0,1.000000,48,1,2
script_numeric,DeepSeek-V3.2,P2,full_half_width,25.0000,29.1667,4.1667,0,0,1.000000,24,1,0
script_numeric,DeepSeek-V3.2,P2,ocr_confusable,20.8333,70.8333,50.0000,1,1,0.000488,24,12,0
script_numeric,DeepSeek-V3.2,P2,simp_trad,27.0833,33.3333,6.2500,0,0,0.250000,48,3,0
script_numeric,DeepSeek-V3.2,P3,full_half_width,25.0000,29.1667,4.1667,0,0,1.000000,24,1,0
script_numeric,DeepSeek-V3.2,P3,ocr_confusable,25.0000,70.8333,45.8333,1,1,0.000977,24,11,0
script_numeric,DeepSeek-V3.2,P3,simp_trad,31.2500,41.6667,10.4167,0,0,0.179688,48,7,2
script_numeric,DeepSeek-V3.2,P4,full_half_width,29.1667,29.1667,0.0000,0,0,1.000000,24,2,2
script_numeric,DeepSeek-V3.2,P4,ocr_confusable,20.8333,62.5000,41.6667,1,1,0.001953,24,10,0
script_numeric,DeepSeek-V3.2,P4,simp_trad,29.1667,31.2500,2.0833,0,0,1.000000,48,2,1
script_numeric,GLM-4.6,P1,full_half_width,16.6667,20.8333,4.1667,0,0,1.000000,24,1,0
script_numeric,GLM-4.6,P1,ocr_confusable,12.5000,54.1667,41.6667,1,1,0.001953,24,10,0
script_numeric,GLM-4.6,P1,simp_trad,18.7500,20.8333,2.0833,0,0,1.000000,48,3,2
script_numeric,GLM-4.6,P2,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,24,0,0
script_numeric,GLM-4.6,P2,ocr_confusable,16.6667,54.1667,37.5000,1,1,0.003906,24,9,0
script_numeric,GLM-4.6,P2,simp_trad,18.7500,25.0000,6.2500,0,0,0.250000,48,3,0
script_numeric,GLM-4.6,P3,full_half_width,12.5000,25.0000,12.5000,0,0,0.250000,24,3,0
script_numeric,GLM-4.6,P3,ocr_confusable,16.6667,58.3333,41.6667,1,1,0.001953,24,10,0
script_numeric,GLM-4.6,P3,simp_trad,20.8333,22.9167,2.0833,0,0,1.000000,48,2,1
script_numeric,GLM-4.6,P4,full_half_width,16.6667,25.0000,8.3333,0,0,0.500000,24,2,0
script_numeric,GLM-4.6,P4,ocr_confusable,16.6667,58.3333,41.6667,1,1,0.006348,24,11,1
script_numeric,GLM-4.6,P4,simp_trad,16.6667,25.0000,8.3333,0,0,0.125000,48,4,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,8.3333,12.5000,4.1667,0,0,1.000000,24,1,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,0.0000,50.0000,50.0000,1,1,0.000488,24,12,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,8.3333,10.4167,2.0833,0,0,1.000000,48,1,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,24,0,0
