model_id,prompt_id,subtype_id,pair_id,task_type,pair_outcome,control_qid,perturbed_qid,control_input,perturbed_input,gold,control_raw_output,perturbed_raw_output,control_parsed_output,perturbed_parsed_output,control_error_type,perturbed_error_type,trigger_shape,trigger_explanation
DeepSeek-V3.2,P1,full_half_width,pair_main_ext_full_half_width_077,extraction,flip_case,pair_main_ext_full_half_width_077_control,pair_main_ext_full_half_width_077_perturbed,"To: 投资团队
内容：确认 华星科技I3 在2026年05月13日完成1500万元融资，备案号AX2692，这笔钱将用于渠道建设。","To: 投资团队
内容：确认 华星科技Ｉ3 在2026年05月13日完成1500万元融资，备案号AX2692，这笔钱将用于渠道建设。","{""amount"": ""1500万元"", ""company"": ""华星科技I3"", ""date"": ""2026-05-13""}","{""company"": ""华星科技I3"", ""date"": ""2026-05-13"", ""amount"": ""1500万元""}","{""company"": ""华星科技"", ""date"": ""2026-05-13"", ""amount"": ""1500万元""}","{""amount"": ""1500万元"", ""company"": ""华星科技I3"", ""date"": ""2026-05-13""}","{""amount"": ""1500万元"", ""company"": ""华星科技"", ""date"": ""2026-05-13""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
DeepSeek-V3.2,P2,full_half_width,pair_main_ext_full_half_width_077,extraction,flip_case,pair_main_ext_full_half_width_077_control,pair_main_ext_full_half_width_077_perturbed,"To: 投资团队
内容：确认 华星科技I3 在2026年05月13日完成1500万元融资，备案号AX2692，这笔钱将用于渠道建设。","To: 投资团队
内容：确认 华星科技Ｉ3 在2026年05月13日完成1500万元融资，备案号AX2692，这笔钱将用于渠道建设。","{""amount"": ""1500万元"", ""company"": ""华星科技I3"", ""date"": ""2026-05-13""}","{
  ""company"": ""华星科技I3"",
  ""date"": ""2026-05-13"",
  ""amount"": ""1500万元""
}","{
  ""company"": ""华星科技"",
  ""date"": ""2026-05-13"",
  ""amount"": ""1500万元""
}","{""amount"": ""1500万元"", ""company"": ""华星科技I3"", ""date"": ""2026-05-13""}","{""amount"": ""1500万元"", ""company"": ""华星科技"", ""date"": ""2026-05-13""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
DeepSeek-V3.2,P3,full_half_width,pair_main_ext_full_half_width_066,extraction,flip_case,pair_main_ext_full_half_width_066_control,pair_main_ext_full_half_width_066_perturbed,客服记录：用户问“青石出行M1什么时候融资的？”客服答“2026年06月07日，金额900万元，工单号AX2505，主要投向产品迭代。”,客服记录：用户问“青石出行M1什么时候融资的？”客服答“２０26年06月07日，金额900万元，工单号AX2505，主要投向产品迭代。”,"{""amount"": ""900万元"", ""company"": ""青石出行M1"", ""date"": ""2026-06-07""}","{""company"":""青石出行M1"",""date"":""2026-06-07"",""amount"":""900万元""}","{""company"":""青石出行"",""date"":""2026-06-07"",""amount"":""900万元""}","{""amount"": ""900万元"", ""company"": ""青石出行M1"", ""date"": ""2026-06-07""}","{""amount"": ""900万元"", ""company"": ""青石出行"", ""date"": ""2026-06-07""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
DeepSeek-V3.2,P4,full_half_width,pair_main_ext_full_half_width_072,extraction,flip_case,pair_main_ext_full_half_width_072_control,pair_main_ext_full_half_width_072_perturbed,社媒贴文：有人转发说“青穗农业T5在2026年12月25日拿到2600万元融资”，评论区补充这笔资金会投向海外试点，截图里还带着编号AX2607。,社媒贴文：有人转发说“青穗农业T5在２026年12月25日拿到2600万元融资”，评论区补充这笔资金会投向海外试点，截图里还带着编号AX2607。,"{""amount"": ""2600万元"", ""company"": ""青穗农业T5"", ""date"": ""2026-12-25""}","{""company"": ""青穗农业T5"", ""date"": ""2026-12-25"", ""amount"": ""2600万元""}","{""company"": ""青穗农业"", ""date"": ""2026-12-25"", ""amount"": ""2600万元""}","{""amount"": ""2600万元"", ""company"": ""青穗农业T5"", ""date"": ""2026-12-25""}","{""amount"": ""2600万元"", ""company"": ""青穗农业"", ""date"": ""2026-12-25""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
DeepSeek-V3.2,P4,full_half_width,pair_main_ext_full_half_width_077,extraction,flip_case,pair_main_ext_full_half_width_077_control,pair_main_ext_full_half_width_077_perturbed,"To: 投资团队
内容：确认 华星科技I3 在2026年05月13日完成1500万元融资，备案号AX2692，这笔钱将用于渠道建设。","To: 投资团队
内容：确认 华星科技Ｉ3 在2026年05月13日完成1500万元融资，备案号AX2692，这笔钱将用于渠道建设。","{""amount"": ""1500万元"", ""company"": ""华星科技I3"", ""date"": ""2026-05-13""}","{""company"": ""华星科技I3"", ""date"": ""2026-05-13"", ""amount"": ""1500万元""}","{""company"": ""华星科技"", ""date"": ""2026-05-13"", ""amount"": ""1500万元""}","{""amount"": ""1500万元"", ""company"": ""华星科技I3"", ""date"": ""2026-05-13""}","{""amount"": ""1500万元"", ""company"": ""华星科技"", ""date"": ""2026-05-13""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
GLM-4.6,P1,full_half_width,pair_main_ext_full_half_width_082,extraction,flip_case,pair_main_ext_full_half_width_082_control,pair_main_ext_full_half_width_082_perturbed,群聊记录：A说“银联实验室5组那笔融资落地了”，B回“时间2026年10月01日，金额900万元，单号AX2777，主要用在产品迭代。”,群聊记录：A说“银联实验室５组那笔融资落地了”，B回“时间2026年10月01日，金额900万元，单号AX2777，主要用在产品迭代。”,"{""amount"": ""900万元"", ""company"": ""银联实验室5组"", ""date"": ""2026-10-01""}","
{""company"": ""银联实验室5组"", ""date"": ""2026-10-01"", ""amount"": ""900万元""}","
{""company"": ""银联实验室"", ""date"": ""2026-10-01"", ""amount"": ""900万元""}","{""amount"": ""900万元"", ""company"": ""银联实验室5组"", ""date"": ""2026-10-01""}","{""amount"": ""900万元"", ""company"": ""银联实验室"", ""date"": ""2026-10-01""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
GLM-4.6,P3,full_half_width,pair_main_ext_full_half_width_067,extraction,flip_case,pair_main_ext_full_half_width_067_control,pair_main_ext_full_half_width_067_perturbed,工单摘要：关于深蓝能源E8融资信息，坐席确认“日期2026年07月10日，金额1000万元，记录号AX2522，用途是算力采购”。,工单摘要：关于深蓝能源E8融资信息，坐席确认“日期2026年07月10日，金额１000万元，记录号AX2522，用途是算力采购”。,"{""amount"": ""1000万元"", ""company"": ""深蓝能源E8"", ""date"": ""2026-07-10""}","
{""company"": ""深蓝能源E8"", ""date"": ""2026-07-10"", ""amount"": ""1000万元""}","
{""company"": ""深蓝能源"", ""date"": ""2026-07-10"", ""amount"": ""1000万元""}","{""amount"": ""1000万元"", ""company"": ""深蓝能源E8"", ""date"": ""2026-07-10""}","{""amount"": ""1000万元"", ""company"": ""深蓝能源"", ""date"": ""2026-07-10""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
GLM-4.6,P3,full_half_width,pair_main_ext_full_half_width_072,extraction,flip_case,pair_main_ext_full_half_width_072_control,pair_main_ext_full_half_width_072_perturbed,社媒贴文：有人转发说“青穗农业T5在2026年12月25日拿到2600万元融资”，评论区补充这笔资金会投向海外试点，截图里还带着编号AX2607。,社媒贴文：有人转发说“青穗农业T5在２026年12月25日拿到2600万元融资”，评论区补充这笔资金会投向海外试点，截图里还带着编号AX2607。,"{""amount"": ""2600万元"", ""company"": ""青穗农业T5"", ""date"": ""2026-12-25""}","
{""company"": ""青穗农业T5"", ""date"": ""2026-12-25"", ""amount"": ""2600万元""}","
{""company"": ""青穗农业"", ""date"": ""2026-12-25"", ""amount"": ""2600万元""}","{""amount"": ""2600万元"", ""company"": ""青穗农业T5"", ""date"": ""2026-12-25""}","{""amount"": ""2600万元"", ""company"": ""青穗农业"", ""date"": ""2026-12-25""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
GLM-4.6,P3,full_half_width,pair_main_ext_full_half_width_082,extraction,flip_case,pair_main_ext_full_half_width_082_control,pair_main_ext_full_half_width_082_perturbed,群聊记录：A说“银联实验室5组那笔融资落地了”，B回“时间2026年10月01日，金额900万元，单号AX2777，主要用在产品迭代。”,群聊记录：A说“银联实验室５组那笔融资落地了”，B回“时间2026年10月01日，金额900万元，单号AX2777，主要用在产品迭代。”,"{""amount"": ""900万元"", ""company"": ""银联实验室5组"", ""date"": ""2026-10-01""}","
{""company"": ""银联实验室5组"", ""date"": ""2026-10-01"", ""amount"": ""900万元""}","
{""company"": ""银联实验室"", ""date"": ""2026-10-01"", ""amount"": ""900万元""}","{""amount"": ""900万元"", ""company"": ""银联实验室5组"", ""date"": ""2026-10-01""}","{""amount"": ""900万元"", ""company"": ""银联实验室"", ""date"": ""2026-10-01""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
GLM-4.6,P4,full_half_width,pair_main_ext_full_half_width_061,extraction,flip_case,pair_main_ext_full_half_width_061_control,pair_main_ext_full_half_width_061_perturbed,公司公告：长风教育2部在2026年01月19日披露完成1500万元融资（记录号 AX2420），后续将重点投入渠道建设。,公司公告：长风教育2部在2026年01月19日披露完成１５00万元融资（记录号 AX2420），后续将重点投入渠道建设。,"{""amount"": ""1500万元"", ""company"": ""长风教育2部"", ""date"": ""2026-01-19""}","
{""company"": ""长风教育2部"", ""date"": ""2026-01-19"", ""amount"": ""1500万元""}","
{""company"": ""长风教育"", ""date"": ""2026-01-19"", ""amount"": ""1500万元""}","{""amount"": ""1500万元"", ""company"": ""长风教育2部"", ""date"": ""2026-01-19""}","{""amount"": ""1500万元"", ""company"": ""长风教育"", ""date"": ""2026-01-19""}",ok,mismatch_company,mixed_width_numeric_field,数值或编号字段中的全半角混排破坏了事实匹配，导致答案翻转。
