model_id,prompt_id,subtype_id,group_type,group_value,pair_count,flip_pairs,reverse_flip_pairs,FR_control,FR_trigger,delta_pp,p_value,n01,n10
DeepSeek-V3.2,P1,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,intensity,light,13,1,0,38.4615,46.1538,7.6923,1.000000,1,0
DeepSeek-V3.2,P1,full_half_width,intensity,medium,8,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,ocr_confusable,intensity,hard,6,3,0,33.3333,83.3333,50.0000,0.250000,3,0
DeepSeek-V3.2,P1,ocr_confusable,intensity,light,12,6,0,16.6667,66.6667,50.0000,0.031250,6,0
DeepSeek-V3.2,P1,ocr_confusable,intensity,medium,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
DeepSeek-V3.2,P1,simp_trad,intensity,hard,9,0,0,33.3333,33.3333,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,simp_trad,intensity,light,26,17,1,23.0769,84.6154,61.5385,0.000145,17,1
DeepSeek-V3.2,P1,simp_trad,intensity,medium,13,6,0,53.8462,100.0000,46.1538,0.031250,6,0
DeepSeek-V3.2,P2,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,full_half_width,intensity,light,13,1,0,30.7692,38.4615,7.6923,1.000000,1,0
DeepSeek-V3.2,P2,full_half_width,intensity,medium,8,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,ocr_confusable,intensity,hard,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
DeepSeek-V3.2,P2,ocr_confusable,intensity,light,12,8,0,25.0000,91.6667,66.6667,0.007812,8,0
DeepSeek-V3.2,P2,ocr_confusable,intensity,medium,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
DeepSeek-V3.2,P2,simp_trad,intensity,hard,9,0,0,33.3333,33.3333,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,simp_trad,intensity,light,26,17,0,19.2308,84.6154,65.3846,0.000015,17,0
DeepSeek-V3.2,P2,simp_trad,intensity,medium,13,8,0,38.4615,100.0000,61.5385,0.007812,8,0
DeepSeek-V3.2,P3,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P3,full_half_width,intensity,light,13,0,0,38.4615,38.4615,0.0000,1.000000,0,0
DeepSeek-V3.2,P3,full_half_width,intensity,medium,8,1,0,12.5000,25.0000,12.5000,1.000000,1,0
DeepSeek-V3.2,P3,ocr_confusable,intensity,hard,6,4,0,16.6667,83.3333,66.6667,0.125000,4,0
DeepSeek-V3.2,P3,ocr_confusable,intensity,light,12,6,0,8.3333,58.3333,50.0000,0.031250,6,0
DeepSeek-V3.2,P3,ocr_confusable,intensity,medium,6,2,0,66.6667,100.0000,33.3333,0.500000,2,0
DeepSeek-V3.2,P3,simp_trad,intensity,hard,9,1,0,33.3333,44.4444,11.1111,1.000000,1,0
DeepSeek-V3.2,P3,simp_trad,intensity,light,26,17,1,30.7692,92.3077,61.5385,0.000145,17,1
DeepSeek-V3.2,P3,simp_trad,intensity,medium,13,9,0,30.7692,100.0000,69.2308,0.003906,9,0
DeepSeek-V3.2,P4,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P4,full_half_width,intensity,light,13,2,2,38.4615,38.4615,0.0000,1.000000,2,2
DeepSeek-V3.2,P4,full_half_width,intensity,medium,8,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P4,ocr_confusable,intensity,hard,6,3,0,33.3333,83.3333,50.0000,0.250000,3,0
DeepSeek-V3.2,P4,ocr_confusable,intensity,light,12,7,0,16.6667,75.0000,58.3333,0.015625,7,0
DeepSeek-V3.2,P4,ocr_confusable,intensity,medium,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
DeepSeek-V3.2,P4,simp_trad,intensity,hard,9,0,0,33.3333,33.3333,0.0000,1.000000,0,0
DeepSeek-V3.2,P4,simp_trad,intensity,light,26,18,0,15.3846,84.6154,69.2308,0.000008,18,0
DeepSeek-V3.2,P4,simp_trad,intensity,medium,13,6,0,53.8462,100.0000,46.1538,0.031250,6,0
GLM-4.6,P1,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
GLM-4.6,P1,full_half_width,intensity,light,13,0,0,23.0769,23.0769,0.0000,1.000000,0,0
GLM-4.6,P1,full_half_width,intensity,medium,8,1,0,12.5000,25.0000,12.5000,1.000000,1,0
GLM-4.6,P1,ocr_confusable,intensity,hard,6,4,0,33.3333,100.0000,66.6667,0.125000,4,0
GLM-4.6,P1,ocr_confusable,intensity,light,12,6,0,0.0000,50.0000,50.0000,0.031250,6,0
GLM-4.6,P1,ocr_confusable,intensity,medium,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
GLM-4.6,P1,simp_trad,intensity,hard,9,1,1,22.2222,22.2222,0.0000,1.000000,1,1
GLM-4.6,P1,simp_trad,intensity,light,26,21,1,11.5385,88.4615,76.9231,0.000011,21,1
GLM-4.6,P1,simp_trad,intensity,medium,13,7,0,30.7692,84.6154,53.8462,0.015625,7,0
GLM-4.6,P2,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
GLM-4.6,P2,full_half_width,intensity,light,13,0,0,23.0769,23.0769,0.0000,1.000000,0,0
GLM-4.6,P2,full_half_width,intensity,medium,8,0,0,0.0000,0.0000,0.0000,1.000000,0,0
GLM-4.6,P2,ocr_confusable,intensity,hard,6,4,0,33.3333,100.0000,66.6667,0.125000,4,0
GLM-4.6,P2,ocr_confusable,intensity,light,12,6,0,8.3333,58.3333,50.0000,0.031250,6,0
GLM-4.6,P2,ocr_confusable,intensity,medium,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
GLM-4.6,P2,simp_trad,intensity,hard,9,1,0,22.2222,33.3333,11.1111,1.000000,1,0
GLM-4.6,P2,simp_trad,intensity,light,26,20,0,7.6923,84.6154,76.9231,0.000002,20,0
GLM-4.6,P2,simp_trad,intensity,medium,13,7,0,38.4615,92.3077,53.8462,0.015625,7,0
GLM-4.6,P3,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
GLM-4.6,P3,full_half_width,intensity,light,13,2,0,15.3846,30.7692,15.3846,0.500000,2,0
GLM-4.6,P3,full_half_width,intensity,medium,8,1,0,12.5000,25.0000,12.5000,1.000000,1,0
GLM-4.6,P3,ocr_confusable,intensity,hard,6,3,0,33.3333,83.3333,50.0000,0.250000,3,0
GLM-4.6,P3,ocr_confusable,intensity,light,12,6,0,0.0000,50.0000,50.0000,0.031250,6,0
GLM-4.6,P3,ocr_confusable,intensity,medium,6,4,0,33.3333,100.0000,66.6667,0.125000,4,0
GLM-4.6,P3,simp_trad,intensity,hard,9,1,0,22.2222,33.3333,11.1111,1.000000,1,0
GLM-4.6,P3,simp_trad,intensity,light,26,19,0,15.3846,88.4615,73.0769,0.000004,19,0
GLM-4.6,P3,simp_trad,intensity,medium,13,7,0,30.7692,84.6154,53.8462,0.015625,7,0
GLM-4.6,P4,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
GLM-4.6,P4,full_half_width,intensity,light,13,1,0,23.0769,30.7692,7.6923,1.000000,1,0
GLM-4.6,P4,full_half_width,intensity,medium,8,1,0,12.5000,25.0000,12.5000,1.000000,1,0
GLM-4.6,P4,ocr_confusable,intensity,hard,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
GLM-4.6,P4,ocr_confusable,intensity,light,12,5,1,16.6667,50.0000,33.3333,0.218750,5,1
GLM-4.6,P4,ocr_confusable,intensity,medium,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
GLM-4.6,P4,simp_trad,intensity,hard,9,1,0,22.2222,33.3333,11.1111,1.000000,1,0
GLM-4.6,P4,simp_trad,intensity,light,26,21,0,11.5385,92.3077,80.7692,0.000001,21,0
GLM-4.6,P4,simp_trad,intensity,medium,13,7,0,23.0769,76.9231,53.8462,0.015625,7,0
Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,intensity,light,13,1,0,15.3846,23.0769,7.6923,1.000000,1,0
Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,intensity,medium,8,0,0,0.0000,0.0000,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,intensity,hard,6,5,0,0.0000,83.3333,83.3333,0.062500,5,0
Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,intensity,light,12,8,0,0.0000,66.6667,66.6667,0.007812,8,0
Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,intensity,medium,6,6,0,0.0000,100.0000,100.0000,0.031250,6,0
Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,intensity,hard,9,1,0,22.2222,33.3333,11.1111,1.000000,1,0
Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,intensity,light,26,20,0,0.0000,76.9231,76.9231,0.000002,20,0
Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,intensity,medium,13,7,0,15.3846,69.2308,53.8462,0.015625,7,0
Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,intensity,light,13,0,0,23.0769,23.0769,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,intensity,medium,8,0,0,0.0000,0.0000,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,intensity,hard,6,5,0,0.0000,83.3333,83.3333,0.062500,5,0
Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,intensity,light,12,8,0,0.0000,66.6667,66.6667,0.007812,8,0
Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,intensity,medium,6,6,0,0.0000,100.0000,100.0000,0.031250,6,0
Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,intensity,hard,9,1,0,22.2222,33.3333,11.1111,1.000000,1,0
Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,intensity,light,26,20,0,0.0000,76.9231,76.9231,0.000002,20,0
Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,intensity,medium,13,7,0,23.0769,76.9231,53.8462,0.015625,7,0
Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,intensity,light,13,1,0,15.3846,23.0769,7.6923,1.000000,1,0
Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,intensity,medium,8,0,1,12.5000,0.0000,-12.5000,1.000000,0,1
Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,intensity,hard,6,5,0,0.0000,83.3333,83.3333,0.062500,5,0
Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,intensity,light,12,6,0,16.6667,66.6667,50.0000,0.031250,6,0
Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,intensity,medium,6,5,0,16.6667,100.0000,83.3333,0.062500,5,0
Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,intensity,hard,9,1,0,22.2222,33.3333,11.1111,1.000000,1,0
Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,intensity,light,26,19,0,7.6923,80.7692,73.0769,0.000004,19,0
Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,intensity,medium,13,6,0,15.3846,61.5385,46.1538,0.031250,6,0
Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,intensity,hard,3,0,0,0.0000,0.0000,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,intensity,light,13,0,0,23.0769,23.0769,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,intensity,medium,8,0,0,0.0000,0.0000,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,intensity,hard,6,5,0,0.0000,83.3333,83.3333,0.062500,5,0
Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,intensity,light,12,7,0,8.3333,66.6667,58.3333,0.015625,7,0
Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,intensity,medium,6,6,0,0.0000,100.0000,100.0000,0.031250,6,0
Qwen3-235B-A22B-Instruct-2507,P4,simp_trad,intensity,hard,9,1,0,22.2222,33.3333,11.1111,1.000000,1,0
