model_id,prompt_id,subtype_id,group_type,group_value,pair_count,flip_pairs,reverse_flip_pairs,FR_control,FR_trigger,delta_pp,p_value,n01,n10
DeepSeek-V3.2,P1,full_half_width,domain,announcement,4,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,domain,customer_service,4,0,0,75.0000,75.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,domain,email,4,1,0,0.0000,25.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,full_half_width,domain,form_ocr,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,domain,im_chat,4,0,0,50.0000,50.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,domain,social_media,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,ocr_confusable,domain,announcement,4,3,0,0.0000,75.0000,75.0000,0.250000,3,0
DeepSeek-V3.2,P1,ocr_confusable,domain,customer_service,4,1,0,25.0000,50.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,ocr_confusable,domain,email,4,1,0,50.0000,75.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,ocr_confusable,domain,form_ocr,4,3,0,0.0000,75.0000,75.0000,0.250000,3,0
DeepSeek-V3.2,P1,ocr_confusable,domain,im_chat,4,2,0,50.0000,100.0000,50.0000,0.500000,2,0
DeepSeek-V3.2,P1,ocr_confusable,domain,social_media,4,4,0,0.0000,100.0000,100.0000,0.125000,4,0
DeepSeek-V3.2,P1,simp_trad,domain,announcement,8,7,0,0.0000,87.5000,87.5000,0.015625,7,0
DeepSeek-V3.2,P1,simp_trad,domain,customer_service,8,1,1,75.0000,75.0000,0.0000,1.000000,1,1
DeepSeek-V3.2,P1,simp_trad,domain,email,8,2,0,37.5000,62.5000,25.0000,0.500000,2,0
DeepSeek-V3.2,P1,simp_trad,domain,form_ocr,8,4,0,25.0000,75.0000,50.0000,0.125000,4,0
DeepSeek-V3.2,P1,simp_trad,domain,im_chat,8,4,0,50.0000,100.0000,50.0000,0.125000,4,0
DeepSeek-V3.2,P1,simp_trad,domain,social_media,8,5,0,12.5000,75.0000,62.5000,0.062500,5,0
DeepSeek-V3.2,P2,full_half_width,domain,announcement,4,0,0,0.0000,0.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,full_half_width,domain,customer_service,4,0,0,75.0000,75.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,full_half_width,domain,email,4,1,0,0.0000,25.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P2,full_half_width,domain,form_ocr,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,full_half_width,domain,im_chat,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,full_half_width,domain,social_media,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,ocr_confusable,domain,announcement,4,3,0,0.0000,75.0000,75.0000,0.250000,3,0
DeepSeek-V3.2,P2,ocr_confusable,domain,customer_service,4,3,0,25.0000,100.0000,75.0000,0.250000,3,0
