model_id,prompt_id,subtype_id,group_type,group_value,pair_count,flip_pairs,reverse_flip_pairs,FR_control,FR_trigger,delta_pp,p_value,n01,n10
DeepSeek-V3.2,P1,full_half_width,composition,single,24,1,0,29.1667,33.3333,4.1667,1.000000,1,0
DeepSeek-V3.2,P1,ocr_confusable,composition,single,24,14,0,20.8333,79.1667,58.3333,0.000122,14,0
DeepSeek-V3.2,P1,simp_trad,composition,single,48,23,1,33.3333,79.1667,45.8333,0.000003,23,1
DeepSeek-V3.2,P2,full_half_width,composition,single,24,1,0,25.0000,29.1667,4.1667,1.000000,1,0
DeepSeek-V3.2,P2,ocr_confusable,composition,single,24,18,0,20.8333,95.8333,75.0000,0.000008,18,0
DeepSeek-V3.2,P2,simp_trad,composition,single,48,25,0,27.0833,79.1667,52.0833,0.000000,25,0
DeepSeek-V3.2,P3,full_half_width,composition,single,24,1,0,25.0000,29.1667,4.1667,1.000000,1,0
DeepSeek-V3.2,P3,ocr_confusable,composition,single,24,12,0,25.0000,75.0000,50.0000,0.000488,12,0
DeepSeek-V3.2,P3,simp_trad,composition,single,48,27,1,31.2500,85.4167,54.1667,0.000000,27,1
DeepSeek-V3.2,P4,full_half_width,composition,single,24,2,2,29.1667,29.1667,0.0000,1.000000,2,2
DeepSeek-V3.2,P4,ocr_confusable,composition,single,24,15,0,20.8333,83.3333,62.5000,0.000061,15,0
DeepSeek-V3.2,P4,simp_trad,composition,single,48,24,0,29.1667,79.1667,50.0000,0.000000,24,0
GLM-4.6,P1,full_half_width,composition,single,24,1,0,16.6667,20.8333,4.1667,1.000000,1,0
GLM-4.6,P1,ocr_confusable,composition,single,24,15,0,12.5000,75.0000,62.5000,0.000061,15,0
GLM-4.6,P1,simp_trad,composition,single,48,29,2,18.7500,75.0000,56.2500,0.000000,29,2
GLM-4.6,P2,full_half_width,composition,single,24,0,0,12.5000,12.5000,0.0000,1.000000,0,0
GLM-4.6,P2,ocr_confusable,composition,single,24,15,0,16.6667,79.1667,62.5000,0.000061,15,0
GLM-4.6,P2,simp_trad,composition,single,48,28,0,18.7500,77.0833,58.3333,0.000000,28,0
GLM-4.6,P3,full_half_width,composition,single,24,3,0,12.5000,25.0000,12.5000,0.250000,3,0
GLM-4.6,P3,ocr_confusable,composition,single,24,13,0,16.6667,70.8333,54.1667,0.000244,13,0
GLM-4.6,P3,simp_trad,composition,single,48,27,0,20.8333,77.0833,56.2500,0.000000,27,0
GLM-4.6,P4,full_half_width,composition,single,24,2,0,16.6667,25.0000,8.3333,0.500000,2,0
GLM-4.6,P4,ocr_confusable,composition,single,24,15,1,16.6667,75.0000,58.3333,0.000519,15,1
GLM-4.6,P4,simp_trad,composition,single,48,29,0,16.6667,77.0833,60.4167,0.000000,29,0
Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,composition,single,24,1,0,8.3333,12.5000,4.1667,1.000000,1,0
Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,composition,single,24,19,0,0.0000,79.1667,79.1667,0.000004,19,0
Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,composition,single,48,28,0,8.3333,66.6667,58.3333,0.000000,28,0
Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,composition,single,24,0,0,12.5000,12.5000,0.0000,1.000000,0,0
Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,composition,single,24,19,0,0.0000,79.1667,79.1667,0.000004,19,0
Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,composition,single,48,28,0,10.4167,68.7500,58.3333,0.000000,28,0
Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,composition,single,24,1,1,12.5000,12.5000,0.0000,1.000000,1,1
