model_id,prompt_id,subtype_id,group_type,group_value,pair_count,flip_pairs,reverse_flip_pairs,FR_control,FR_trigger,delta_pp,p_value,n01,n10
DeepSeek-V3.2,P1,full_half_width,target_field,amount,10,0,0,20.0000,20.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,full_half_width,target_field,company,4,1,0,25.0000,50.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P1,full_half_width,target_field,date,10,0,0,40.0000,40.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,ocr_confusable,target_field,amount,4,4,0,0.0000,100.0000,100.0000,0.125000,4,0
DeepSeek-V3.2,P1,ocr_confusable,target_field,company,13,9,0,30.7692,100.0000,69.2308,0.003906,9,0
DeepSeek-V3.2,P1,ocr_confusable,target_field,date,7,1,0,14.2857,28.5714,14.2857,1.000000,1,0
DeepSeek-V3.2,P1,simp_trad,target_field,amount,6,0,0,16.6667,16.6667,0.0000,1.000000,0,0
DeepSeek-V3.2,P1,simp_trad,target_field,company,36,21,1,33.3333,88.8889,55.5556,0.000011,21,1
DeepSeek-V3.2,P1,simp_trad,target_field,date,6,2,0,50.0000,83.3333,33.3333,0.500000,2,0
DeepSeek-V3.2,P2,full_half_width,target_field,amount,10,0,0,10.0000,10.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,full_half_width,target_field,company,4,1,0,25.0000,50.0000,25.0000,1.000000,1,0
DeepSeek-V3.2,P2,full_half_width,target_field,date,10,0,0,40.0000,40.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,ocr_confusable,target_field,amount,4,4,0,0.0000,100.0000,100.0000,0.125000,4,0
DeepSeek-V3.2,P2,ocr_confusable,target_field,company,13,9,0,30.7692,100.0000,69.2308,0.003906,9,0
DeepSeek-V3.2,P2,ocr_confusable,target_field,date,7,5,0,14.2857,85.7143,71.4286,0.062500,5,0
DeepSeek-V3.2,P2,simp_trad,target_field,amount,6,0,0,16.6667,16.6667,0.0000,1.000000,0,0
DeepSeek-V3.2,P2,simp_trad,target_field,company,36,22,0,27.7778,88.8889,61.1111,0.000000,22,0
DeepSeek-V3.2,P2,simp_trad,target_field,date,6,3,0,33.3333,83.3333,50.0000,0.250000,3,0
DeepSeek-V3.2,P3,full_half_width,target_field,amount,10,0,0,30.0000,30.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P3,full_half_width,target_field,company,4,0,0,25.0000,25.0000,0.0000,1.000000,0,0
DeepSeek-V3.2,P3,full_half_width,target_field,date,10,1,0,20.0000,30.0000,10.0000,1.000000,1,0
DeepSeek-V3.2,P3,ocr_confusable,target_field,amount,4,2,0,50.0000,100.0000,50.0000,0.500000,2,0
DeepSeek-V3.2,P3,ocr_confusable,target_field,company,13,9,0,23.0769,92.3077,69.2308,0.003906,9,0
DeepSeek-V3.2,P3,ocr_confusable,target_field,date,7,1,0,14.2857,28.5714,14.2857,1.000000,1,0
DeepSeek-V3.2,P3,simp_trad,target_field,amount,6,0,0,16.6667,16.6667,0.0000,1.000000,0,0
DeepSeek-V3.2,P3,simp_trad,target_field,company,36,24,1,30.5556,94.4444,63.8889,0.000002,24,1
DeepSeek-V3.2,P3,simp_trad,target_field,date,6,3,0,50.0000,100.0000,50.0000,0.250000,3,0
