model_id,prompt_id,subtype_id,FR_control,FR_trigger,delta_pp,A_flag,B_flag,p_value,pair_count,n01,n10
DeepSeek-V3.2,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
DeepSeek-V3.2,P1,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
DeepSeek-V3.2,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
DeepSeek-V3.2,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
DeepSeek-V3.2,P2,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
DeepSeek-V3.2,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
DeepSeek-V3.2,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
DeepSeek-V3.2,P3,ocr_confusable,0.0000,16.6667,16.6667,0,0,1.000000,6,1,0
DeepSeek-V3.2,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
DeepSeek-V3.2,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
DeepSeek-V3.2,P4,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
DeepSeek-V3.2,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
GLM-4.6,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
GLM-4.6,P1,ocr_confusable,0.0000,16.6667,16.6667,0,0,1.000000,6,1,0
GLM-4.6,P1,simp_trad,8.3333,0.0000,-8.3333,0,0,1.000000,12,0,1
GLM-4.6,P2,full_half_width,16.6667,0.0000,-16.6667,0,0,1.000000,6,0,1
GLM-4.6,P2,ocr_confusable,0.0000,16.6667,16.6667,0,0,1.000000,6,1,0
GLM-4.6,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
GLM-4.6,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
GLM-4.6,P3,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
GLM-4.6,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
GLM-4.6,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
GLM-4.6,P4,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
GLM-4.6,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
Qwen3-235B-A22B-Instruct-2507,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
gemini-3-flash,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gemini-3-flash,P1,ocr_confusable,0.0000,16.6667,16.6667,0,0,1.000000,6,1,0
gemini-3-flash,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
gemini-3-flash,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gemini-3-flash,P2,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gemini-3-flash,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
gemini-3-flash,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gemini-3-flash,P3,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gemini-3-flash,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
gemini-3-flash,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gemini-3-flash,P4,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gemini-3-flash,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
gpt-5.2,P1,full_half_width,16.6667,0.0000,-16.6667,0,0,1.000000,6,0,1
gpt-5.2,P1,ocr_confusable,16.6667,16.6667,0.0000,0,0,1.000000,6,1,1
gpt-5.2,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
gpt-5.2,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gpt-5.2,P2,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gpt-5.2,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
gpt-5.2,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gpt-5.2,P3,ocr_confusable,0.0000,16.6667,16.6667,0,0,1.000000,6,1,0
gpt-5.2,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,12,0,0
gpt-5.2,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,6,0,0
gpt-5.2,P4,ocr_confusable,0.0000,16.6667,16.6667,0,0,1.000000,6,1,0
gpt-5.2,P4,simp_trad,8.3333,0.0000,-8.3333,0,0,1.000000,12,0,1
