pair_id,subtype_id,task_type,domain,source_style,target_field,intensity,is_composite,secondary_subtype,trigger_shape_hint
pair_calibration_ext_simp_trad_001,simp_trad,extraction,announcement,doc,date,medium,0,,script_variant_preserved
pair_calibration_ext_simp_trad_002,simp_trad,extraction,customer_service,chat,company,medium,0,,script_variant_preserved
pair_calibration_ext_simp_trad_003,simp_trad,extraction,social_media,social,company,light,0,,script_variant_preserved
pair_calibration_ext_simp_trad_004,simp_trad,extraction,email,mail,company,light,0,,script_variant_preserved
pair_calibration_cla_simp_trad_005,simp_trad,classification,im_chat,chat,amount,hard,0,,script_variant_preserved
pair_calibration_cla_simp_trad_006,simp_trad,classification,form_ocr,form,company,light,1,full_half_width,script_variant_preserved
pair_calibration_ext_full_half_width_007,full_half_width,extraction,announcement,doc,amount,hard,0,,mixed_width_numeric_field
pair_calibration_ext_full_half_width_008,full_half_width,extraction,customer_service,chat,date,light,0,,mixed_width_numeric_field
pair_calibration_ext_full_half_width_009,full_half_width,extraction,social_media,social,date,light,0,,mixed_width_numeric_field
pair_calibration_ext_full_half_width_010,full_half_width,extraction,email,mail,amount,medium,0,,mixed_width_numeric_field
pair_calibration_cla_full_half_width_011,full_half_width,classification,im_chat,chat,date,light,0,,mixed_width_numeric_field
pair_calibration_cla_full_half_width_012,full_half_width,classification,form_ocr,form,company,medium,1,simp_trad,mixed_width_numeric_field
pair_calibration_ext_ocr_confusable_013,ocr_confusable,extraction,announcement,doc,date,medium,0,,ocr_confusion_near_key_slot
pair_calibration_ext_ocr_confusable_014,ocr_confusable,extraction,customer_service,chat,company,light,0,,ocr_confusion_near_key_slot
pair_calibration_ext_ocr_confusable_015,ocr_confusable,extraction,social_media,social,amount,light,0,,ocr_confusion_near_key_slot
pair_calibration_ext_ocr_confusable_016,ocr_confusable,extraction,email,mail,date,light,0,,ocr_confusion_near_key_slot
pair_calibration_cla_ocr_confusable_017,ocr_confusable,classification,im_chat,chat,company,hard,0,,ocr_confusion_near_key_slot
pair_calibration_cla_ocr_confusable_018,ocr_confusable,classification,form_ocr,form,company,medium,1,simp_trad,ocr_confusion_near_key_slot
